Date,mercury,nitrite,ID
1/1/2001,NA,NA,3
1/2/2001,NA,NA,3
1/3/2001,NA,NA,3
1/4/2001,NA,NA,3
1/5/2001,NA,NA,3
1/6/2001,NA,NA,3
1/7/2001,NA,NA,3
1/8/2001,NA,NA,3
1/9/2001,NA,NA,3
1/10/2001,NA,NA,3
1/11/2001,NA,NA,3
1/12/2001,NA,NA,3
1/13/2001,NA,NA,3
1/14/2001,NA,NA,3
1/15/2001,NA,NA,3
1/16/2001,NA,NA,3
1/17/2001,NA,NA,3
1/18/2001,NA,NA,3
1/19/2001,NA,NA,3
1/20/2001,NA,NA,3
1/21/2001,NA,NA,3
1/22/2001,NA,NA,3
1/23/2001,NA,NA,3
1/24/2001,NA,NA,3
1/25/2001,NA,NA,3
1/26/2001,NA,NA,3
1/27/2001,NA,NA,3
1/28/2001,NA,NA,3
1/29/2001,NA,NA,3
1/30/2001,NA,NA,3
1/31/2001,NA,NA,3
2/1/2001,NA,NA,3
2/2/2001,NA,NA,3
2/3/2001,NA,NA,3
2/4/2001,NA,NA,3
2/5/2001,NA,NA,3
2/6/2001,NA,NA,3
2/7/2001,NA,NA,3
2/8/2001,NA,NA,3
2/9/2001,NA,NA,3
2/10/2001,NA,NA,3
2/11/2001,NA,NA,3
2/12/2001,NA,NA,3
2/13/2001,NA,NA,3
2/14/2001,NA,NA,3
2/15/2001,NA,NA,3
2/16/2001,NA,NA,3
2/17/2001,NA,NA,3
2/18/2001,NA,NA,3
2/19/2001,NA,NA,3
2/20/2001,NA,NA,3
2/21/2001,NA,NA,3
2/22/2001,NA,NA,3
2/23/2001,NA,NA,3
2/24/2001,NA,NA,3
2/25/2001,NA,NA,3
2/26/2001,NA,NA,3
2/27/2001,NA,NA,3
2/28/2001,NA,NA,3
3/1/2001,NA,NA,3
3/2/2001,NA,NA,3
3/3/2001,NA,NA,3
3/4/2001,NA,NA,3
3/5/2001,NA,NA,3
3/6/2001,NA,NA,3
3/7/2001,NA,NA,3
3/8/2001,NA,NA,3
3/9/2001,NA,NA,3
