Date,mercury,COD,nitrite,ID
1/1/2001,NA,0.699,NA,2
1/2/2001,NA,NA,NA,2
1/3/2001,NA,NA,NA,2
1/4/2001,NA,NA,NA,2
1/5/2001,NA,NA,NA,2
1/6/2001,NA,NA,NA,2
1/7/2001,NA,4.97,NA,2
1/8/2001,NA,NA,NA,2
1/9/2001,NA,NA,NA,2
1/10/2001,NA,NA,NA,2
1/11/2001,NA,NA,NA,2
1/12/2001,NA,NA,NA,2
1/13/2001,NA,1.33,NA,2
1/14/2001,NA,NA,NA,2
1/15/2001,NA,NA,NA,2
1/16/2001,NA,1.91,NA,2
1/17/2001,NA,NA,NA,2
1/18/2001,NA,NA,NA,2
1/19/2001,2.3,1.39,0.699,2
1/20/2001,NA,NA,NA,2
1/21/2001,NA,NA,NA,2
1/22/2001,NA,0.867,NA,2
1/23/2001,NA,NA,NA,2
1/24/2001,NA,NA,NA,2
1/25/2001,2.19,1.41,4.97,2
1/26/2001,NA,NA,NA,2
1/27/2001,NA,NA,NA,2
1/28/2001,NA,0.582,NA,2
1/29/2001,NA,NA,NA,2
1/30/2001,NA,NA,NA,2
1/31/2001,1.2,3.57,1.33,2
2/1/2001,NA,NA,NA,2
2/2/2001,NA,NA,NA,2
2/3/2001,2.23,2.21,1.91,2
2/4/2001,NA,NA,NA,2
2/5/2001,NA,NA,NA,2
2/6/2001,4.15,0.735,1.39,2
2/7/2001,NA,NA,NA,2
2/8/2001,NA,NA,NA,2
2/9/2001,3,1.57,0.867,2
2/10/2001,NA,NA,NA,2
2/11/2001,NA,NA,NA,2
2/12/2001,4.04,1.37,1.41,2
2/13/2001,NA,NA,NA,2
2/14/2001,NA,NA,NA,2
2/15/2001,4.79,3.85,0.582,2
2/16/2001,NA,NA,NA,2
2/17/2001,NA,NA,NA,2
2/18/2001,2.05,1.79,3.57,2
2/19/2001,NA,NA,NA,2
2/20/2001,NA,NA,NA,2
2/21/2001,7.93,1.63,2.21,2
2/22/2001,NA,NA,NA,2
2/23/2001,NA,NA,NA,2
2/24/2001,7.74,1.18,0.735,2
