ID;ROOT_ID;STATE;FEATURED;CHECKED;VALIDATION_SCORE;FLAG_COUNT;LATITUDE;LONGITUDE;CREATED_AT;MODIFIED_AT;USER_ID;USER_ROLE;CHECKCORRECT;CATEGORY;LANDUSE_TYPE;PRESELECT_REPORT_TYPE;OTHER_LAND_USE_TYPE;LOCATION_CORRECT;DISTANCE_FOREST_FIRE;PHOTOS;TIME_FIRE_EVENT;SURFACE_VEGETATION_TYPES;OTHER_MAIN_SURFACE;CONTINUITY_FLAMMABLE_SURFACE_VEGETATION;CONTINUITY_LARGE_WOODY_DEBRIS;FIRE_LADDERS;LIKELYHOOD_FIRE_IGNITION;LOCATION_DESCRIPTION;DETAILS;TOTAL_BURN_AREA_WORLD;SIZE_BURNT_AREA_HA_VIETNAM;FIRE_TYPE;CAUSE_FOREST_FIRE;SIZE_PLANTATION;SIZE_NATURAL_BURN_AREA;DAMAGE;TREE_SPECIES;OTHER_TREE_SPECIES;AFFECTECTED_VEGETATION;ADDITIONAL_INFO_PLANTING_YEAR;ADDITIONAL_INFO_FOREST_OWNER;DESCRIPTION;IMAGE;SPOTTED_AT;MEDIA_1829_0;MEDIA_1829_1;MEDIA_1829_2;MEDIA_1829_3;MEDIA_1829_4
1261877;1261877;enabled;0;0;0;0;16.41804;107.603591;"2026-03-28 03:17";;98064;registered;true;fuel;"Forest areas";;;;;https://www.spotteron.com/api/v2/gallery/2201283;;"Grass, Timber-litter";;40-60%;40-60%;Everywhere;High;;;;;;;;;;;;;;;;https://dl.spotteron.com/m/s/000059/2026/03/28/pc1e3pleb2st01kl32ms4worguf8h7lu;"2026-03-28 10:15";https://dl.spotteron.com/m/s/000059/2026/03/28/pc1e3pleb2st01kl32ms4worguf8h7lu;https://dl.spotteron.com/m/s/000059/2026/03/28/95ez936s8alte2t60uh2r4b8apsplh0d;https://dl.spotteron.com/m/s/000059/2026/03/28/qo4ss8cyw6n2uml7hjo5x0vxzztdo8ba
1261862;1261862;enabled;0;0;0;0;16.328665;107.753284;"2026-03-28 01:44";;98377;registered;true;fuel;"Forest areas";;;;;https://www.spotteron.com/api/v2/gallery/2201269;;"Shrubs/Understory, Slash-Blowdown";;40-60%;40-60%;"Only Partly";Low;;;;;;;;;;;;;;;;https://dl.spotteron.com/m/s/000059/2026/03/28/dy0j89ytmi2e7dowaq5jr9idm1gupcvc;"2026-03-22 11:15";https://dl.spotteron.com/m/s/000059/2026/03/28/dy0j89ytmi2e7dowaq5jr9idm1gupcvc;https://dl.spotteron.com/m/s/000059/2026/03/28/8y7m8vf29i23eulwvufxgks612nvjale;https://dl.spotteron.com/m/s/000059/2026/03/28/o2episss9gj0tpu8eqyz8480acob2ktm;https://dl.spotteron.com/m/s/000059/2026/03/28/oyxj15ckjw47t758a2ud3pq8vby60wgu;https://dl.spotteron.com/m/s/000059/2026/03/28/x7wf3wcfvtwnqvglx7xh28mrr37kyvay
1261861;1261861;enabled;0;0;0;0;16.328665;107.753284;"2026-03-28 01:43";;98377;registered;true;fuel;"Forest areas";;;;;https://www.spotteron.com/api/v2/gallery/2201268;;"Slash-Blowdown, Shrubs/Understory";;40-60%;40-60%;"Only Partly";Low;;;;;;;;;;;;;;;;https://dl.spotteron.com/m/s/000059/2026/03/28/gnghrfj15wm1p452las2nphdsibwy4jp;"2026-03-22 11:12";https://dl.spotteron.com/m/s/000059/2026/03/28/gnghrfj15wm1p452las2nphdsibwy4jp;https://dl.spotteron.com/m/s/000059/2026/03/28/rqjqe7ced0y11poupdj895pwp5n5qfg3;https://dl.spotteron.com/m/s/000059/2026/03/28/1tslcviyzhvzbalxggg50v6okgnvlzh6;https://dl.spotteron.com/m/s/000059/2026/03/28/n4rpqgwp9c4vvgjvgarlnhjggigg473g;https://dl.spotteron.com/m/s/000059/2026/03/28/cgait0205haklfmxo2yg5iq7uucswgxq
1261860;1261860;enabled;0;0;0;0;16.328665;107.753284;"2026-03-28 01:43";;98377;registered;true;fuel;"Forest areas";;;;;https://www.spotteron.com/api/v2/gallery/2201267;;"Shrubs/Understory, Slash-Blowdown";;40-60%;40-60%;"Only Partly";Low;;;;;;;;;;;;;;;;https://dl.spotteron.com/m/s/000059/2026/03/28/cvtygu66cr8e3opgr0ghdq88pfvfms52;"2026-03-22 10:44";https://dl.spotteron.com/m/s/000059/2026/03/28/cvtygu66cr8e3opgr0ghdq88pfvfms52;https://dl.spotteron.com/m/s/000059/2026/03/28/k5dv2ql5u1g3fz8uew3d1x78uhzlszy5;https://dl.spotteron.com/m/s/000059/2026/03/28/0qdhbx6d1gu8hycodloyyysezpag046a;https://dl.spotteron.com/m/s/000059/2026/03/28/0th4pa2i25xzncuupti9u7fuuawxeo1h;https://dl.spotteron.com/m/s/000059/2026/03/28/k24tplp65yi5vgvqc83q6dyinu3nzi07
1261859;1261859;enabled;0;0;0;0;16.38278;107.687572;"2026-03-28 01:42";;98377;registered;true;fuel;"Forest areas";;;;;https://www.spotteron.com/api/v2/gallery/2201266;;"Shrubs/Understory, Slash-Blowdown";;40-60%;40-60%;"Only Partly";Low;;;;;;;;;;;;;;;;https://dl.spotteron.com/m/s/000059/2026/03/28/f55mjvm3l7os1d60xbdsc9juvdgyw5fs;"2026-03-08 10:39";https://dl.spotteron.com/m/s/000059/2026/03/28/f55mjvm3l7os1d60xbdsc9juvdgyw5fs;https://dl.spotteron.com/m/s/000059/2026/03/28/jfwytbfzmx2upa94zabg2iwbk5c9et6i;https://dl.spotteron.com/m/s/000059/2026/03/28/zbzo7cebgm199yqx1z0754nun83g2m1i;https://dl.spotteron.com/m/s/000059/2026/03/28/prqt6yxxccio3l2ln30zir89fy5pckhi;https://dl.spotteron.com/m/s/000059/2026/03/28/zdwsmr11lx8a703cddz6ydhzu03xfirx
1261857;1261857;enabled;0;0;0;0;16.38278;107.687572;"2026-03-28 01:42";;98377;registered;true;fuel;"Forest areas";;;;;https://www.spotteron.com/api/v2/gallery/2201264;;"Shrubs/Understory, Slash-Blowdown";;20-40%;40-60%;"Only Partly";Low;;;;;;;;;;;;;;;;https://dl.spotteron.com/m/s/000059/2026/03/28/mff9oe10ds2o9bxb2dgyz9d5tqw3hdl4;"2026-03-08 10:36";https://dl.spotteron.com/m/s/000059/2026/03/28/mff9oe10ds2o9bxb2dgyz9d5tqw3hdl4;https://dl.spotteron.com/m/s/000059/2026/03/28/29p2712miecw2076u6xlr04ffe6b0rn9;https://dl.spotteron.com/m/s/000059/2026/03/28/g8kjku98mf2noxbz07ipskauxc71wush;https://dl.spotteron.com/m/s/000059/2026/03/28/ux61su5y0bgan5xr3hqsrcuh7tdmcxkg;https://dl.spotteron.com/m/s/000059/2026/03/28/xj348v52owq5jqpbmi0rh8duubzzpf21
1261856;1261856;enabled;0;0;0;0;16.377599;107.701704;"2026-03-28 01:41";;98377;registered;true;fuel;"Forest areas";;;;;https://www.spotteron.com/api/v2/gallery/2201263;;"Shrubs/Understory, Slash-Blowdown";;40-60%;40-60%;"Only Partly";Low;;;;;;;;;;;;;;;;https://dl.spotteron.com/m/s/000059/2026/03/28/pw7iohietafwt0chyfj843ipiae9hspd;"2026-03-01 09:22";https://dl.spotteron.com/m/s/000059/2026/03/28/pw7iohietafwt0chyfj843ipiae9hspd;https://dl.spotteron.com/m/s/000059/2026/03/28/8u5jpmj39bjcdhsd0jusgmaxagm2cpdw;https://dl.spotteron.com/m/s/000059/2026/03/28/l2e1rz9qagzvu2upukz98o8p6v4q26i3;https://dl.spotteron.com/m/s/000059/2026/03/28/4jpmwrxkovbds35pnffg8g7ej0yn3kxh;https://dl.spotteron.com/m/s/000059/2026/03/28/vo8i3eriz5sozszn6v2leo2m2t1una1l
1261854;1261854;enabled;0;0;0;0;16.377599;107.701704;"2026-03-28 01:40";;98377;registered;true;fuel;"Forest areas";;;;;https://www.spotteron.com/api/v2/gallery/2201261;;"Shrubs/Understory, Slash-Blowdown";;40-60%;40-60%;"Only Partly";"Very low";;;;;;;;;;;;;;;;https://dl.spotteron.com/m/s/000059/2026/03/28/taw0d3i8qc7uv1xcme77vlqcpp6t24ea;"2026-03-01 09:16";https://dl.spotteron.com/m/s/000059/2026/03/28/taw0d3i8qc7uv1xcme77vlqcpp6t24ea;https://dl.spotteron.com/m/s/000059/2026/03/28/46o3si6a3mffu0itklfekvfjfam0f6h5;https://dl.spotteron.com/m/s/000059/2026/03/28/0nln59vstzhyitrrrkv8o80y7pyfs195;https://dl.spotteron.com/m/s/000059/2026/03/28/6n0xsx03fa1ch35qzx63cy12q2ipcpo4;https://dl.spotteron.com/m/s/000059/2026/03/28/06d9ira846y5iwye0rvgeg2vethknjfz
1261853;1261853;enabled;0;0;0;0;16.377599;107.701704;"2026-03-28 01:40";;98377;registered;true;fuel;"Forest areas";;;;;https://www.spotteron.com/api/v2/gallery/2201260;;"Shrubs/Understory, Slash-Blowdown";;40-60%;40-60%;"Only Partly";Low;;;;;;;;;;;;;;;;https://dl.spotteron.com/m/s/000059/2026/03/28/mtwescfwe3o1njobwivbu6q1uqwzoi4w;"2026-03-01 09:13";https://dl.spotteron.com/m/s/000059/2026/03/28/mtwescfwe3o1njobwivbu6q1uqwzoi4w;https://dl.spotteron.com/m/s/000059/2026/03/28/78ju3nnyx25dvgwt977qj3ct9zg137is;https://dl.spotteron.com/m/s/000059/2026/03/28/mlcuhkrpy8ib1eco2kznr3qjpc91r9wm;https://dl.spotteron.com/m/s/000059/2026/03/28/2uk8s8yj75s63dp7ero9tlptwo8vj1n5
1261852;1261852;enabled;0;0;0;0;16.380396;107.685243;"2026-03-28 01:39";;98377;registered;true;fuel;"Forest areas";;;;;https://www.spotteron.com/api/v2/gallery/2201259;;"Shrubs/Understory, Slash-Blowdown";;40-60%;40-60%;"Only Partly";Low;;;;;;;;;;;;;;;;https://dl.spotteron.com/m/s/000059/2026/03/28/b3q5ycobp37d2vqeq0hq44re9jzy1xxl;"2026-03-01 09:09";https://dl.spotteron.com/m/s/000059/2026/03/28/b3q5ycobp37d2vqeq0hq44re9jzy1xxl;https://dl.spotteron.com/m/s/000059/2026/03/28/gwpolxesf3kipa57as1x5e81wxbmuahq;https://dl.spotteron.com/m/s/000059/2026/03/28/vjps72s5smdgwoihyz9znpjpb63l5pbh;https://dl.spotteron.com/m/s/000059/2026/03/28/vk0z8lddu675cm2jc7n7akpi1f7lg8lg;https://dl.spotteron.com/m/s/000059/2026/03/28/ffea0v9xqyutmv4136ns9nfma7axjmug
