Date,sulfate,nitrate,ID
1/1/2003,NA,NA,1
1/2/2003,NA,NA,1
1/3/2003,NA,NA,1
1/4/2003,NA,NA,1
1/5/2003,NA,NA,1
1/6/2003,NA,NA,1
1/7/2003,NA,NA,1
1/8/2003,NA,NA,1
1/9/2003,NA,NA,1
1/10/2003,NA,NA,1
1/11/2003,NA,NA,1
1/12/2003,NA,NA,1
1/13/2003,NA,NA,1
1/14/2003,NA,NA,1
1/15/2003,NA,NA,1
1/16/2003,NA,NA,1
1/17/2003,NA,NA,1
1/18/2003,NA,NA,1
1/19/2003,NA,NA,1
1/20/2003,NA,NA,1
1/21/2003,NA,NA,1
1/22/2003,NA,NA,1
1/23/2003,NA,NA,1
1/24/2003,NA,NA,1
1/25/2003,NA,NA,1
1/26/2003,NA,NA,1
1/27/2003,NA,NA,1
1/28/2003,NA,NA,1
1/29/2003,NA,NA,1
1/30/2003,NA,NA,1
1/31/2003,NA,NA,1
2/1/2003,NA,NA,1
2/2/2003,NA,NA,1
2/3/2003,NA,NA,1
2/4/2003,NA,NA,1
2/5/2003,NA,NA,1
2/6/2003,NA,NA,1
2/7/2003,NA,NA,1
2/8/2003,NA,NA,1
2/9/2003,NA,NA,1
2/10/2003,NA,NA,1
2/11/2003,NA,NA,1
2/12/2003,NA,NA,1
2/13/2003,NA,NA,1
2/14/2003,NA,NA,1
2/15/2003,NA,NA,1
2/16/2003,NA,NA,1
2/17/2003,NA,NA,1
2/18/2003,NA,NA,1
2/19/2003,NA,NA,1
2/20/2003,NA,NA,1
2/21/2003,NA,NA,1
2/22/2003,NA,NA,1
2/23/2003,NA,NA,1
2/24/2003,NA,NA,1
2/25/2003,NA,NA,1
2/26/2003,NA,NA,1
2/27/2003,NA,NA,1
2/28/2003,NA,NA,1
3/1/2003,NA,NA,1
3/2/2003,NA,NA,1
3/3/2003,NA,NA,1
3/4/2003,NA,NA,1
3/5/2003,NA,NA,1
3/6/2003,NA,NA,1
3/7/2003,NA,NA,1
3/8/2003,NA,NA,1
3/9/2003,NA,NA,1
3/10/2003,NA,NA,1
3/11/2003,NA,NA,1
3/12/2003,NA,NA,1
3/13/2003,NA,NA,1
3/14/2003,NA,NA,1
3/15/2003,NA,NA,1
3/16/2003,NA,NA,1
3/17/2003,NA,NA,1
3/18/2003,NA,NA,1
3/19/2003,NA,NA,1
3/20/2003,NA,NA,1
3/21/2003,NA,NA,1
3/22/2003,NA,NA,1
3/23/2003,NA,NA,1
3/24/2003,NA,NA,1
3/25/2003,NA,NA,1
3/26/2003,NA,NA,1
3/27/2003,NA,NA,1
3/28/2003,NA,NA,1
3/29/2003,NA,NA,1
3/30/2003,NA,NA,1
3/31/2003,NA,NA,1
4/1/2003,NA,NA,1
4/2/2003,NA,NA,1
4/3/2003,NA,NA,1
